riscv64-linux-gnu-gcc -Wall -Werror -O -fno-omit-frame-pointer -ggdb -gdwarf-2 -MD -mcmodel=medany -ffreestanding -fno-common -nostdlib -mno-relax -I. -fno-stack-protector -D MLFQ -fno-pie -no-pie   -c -o kernel/proc.o kernel/proc.c
riscv64-linux-gnu-ld -z max-page-size=4096 -T kernel/kernel.ld -o kernel/kernel kernel/entry.o kernel/start.o kernel/console.o kernel/printf.o kernel/uart.o kernel/kalloc.o kernel/spinlock.o kernel/string.o kernel/main.o kernel/vm.o kernel/proc.o kernel/swtch.o kernel/trampoline.o kernel/trap.o kernel/syscall.o kernel/sysproc.o kernel/bio.o kernel/fs.o kernel/log.o kernel/sleeplock.o kernel/file.o kernel/pipe.o kernel/exec.o kernel/sysfile.o kernel/kernelvec.o kernel/plic.o kernel/virtio_disk.o 
riscv64-linux-gnu-objdump -S kernel/kernel > kernel/kernel.asm
riscv64-linux-gnu-objdump -t kernel/kernel | sed '1,/SYMBOL TABLE/d; s/ .* / /; /^$/d' > kernel/kernel.sym
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

GRAPH 12 155 0 3
GRAPH 13 155 0 3
GRAPH 4 156 1 3
GRAPH 5 156 1 3
GRAPH 6 156 1 3
GRAPH 7 156 1 3
GRAPH 8 156 1 3
GRAPH 9 156 1 3
GRAPH 10 156 1 3
GRAPH 11 156 1 3
GRAPH 12 156 0 4
GRAPH 13 156 0 3
GRAPH 4 157 1 3
GRAPH 5 157 1 3
GRAPH 6 157 1 3
GRAPH 7 157 1 3
GRAPH 8 157 1 3
GRAPH 9 157 1 3
GRAPH 10 157 1 3
GRAPH 11 157 1 3
GRAPH 12 157 1 3
GRAPH 13 157 0 4
GRAPH 9 158 1 4
GRAPH 10 158 1 3
GRAPH 11 158 1 3
GRAPH 12 158 1 3
GRAPH 13 158 1 3
GRAPH 4 159 2 3
GRAPH 5 159 2 3
GRAPH 6 159 2 3
GRAPH 7 159 2 3
GRAPH 8 159 2 3
GRAPH 9 159 2 3
GRAPH 10 159 1 4
GRAPH 11 159 1 3
GRAPH 12 159 1 3
GRAPH 13 159 1 3
GRAPH 4 160 2 3
GRAPH 5 160 2 3
GRAPH 6 160 2 3
GRAPH 7 160 2 3
GRAPH 8 160 2 3
GRAPH 9 160 2 3
GRAPH 10 160 2 3
GRAPH 11 160 1 4
GRAPH 12 160 1 3
GRAPH 13 160 1 3
GRAPH 4 161 2 3
GRAPH 5 161 2 3
GRAPH 6 161 2 3
GRAPH 7 161 2 3
GRAPH 8 161 2 3
GRAPH 9 161 2 3
GRAPH 10 161 2 3
GRAPH 11 161 2 3
GRAPH 12 161 1 4
GRAPH 13 161 1 3
GRAPH 4 162 2 3
GRAPH 5 162 2 3
GRAPH 6 162 2 3
GRAPH 7 162 2 3
GRAPH 8 162 2 3
GRAPH 9 162 2 3
GRAPH 10 162 2 3
GRAPH 11 162 2 3
GRAPH 12 162 2 3
GRAPH 13 162 1 4
GRAPH 9 163 2 4
GRAPH 10 163 2 3
GRAPH 11 163 2 3
GRAPH 12 163 2 3
GRAPH 13 163 2 3
GRAPH 4 164 3 3
GRAPH 5 164 3 3
GRAPH 6 164 3 3
GRAPH 7 164 3 3
GRAPH 8 164 3 3
GRAPH 9 164 3 3
GRAPH 10 164 2 4
GRAPH 11 164 2 3
GRAPH 12 164 2 3
GRAPH 13 164 2 3
GRAPH 4 165 3 3
GRAPH 5 165 3 3
GRAPH 6 165 3 3
GRAPH 7 165 3 3
GRAPH 8 165 3 3
GRAPH 9 165 3 3
GRAPH 10 165 3 3
GRAPH 11 165 2 4
GRAPH 12 165 2 3
GRAPH 13 165 2 3
GRAPH 4 166 3 3
GRAPH 5 166 3 3
GRAPH 6 166 3 3
GRAPH 7 166 3 3
GRAPH 8 166 3 3
GRAPH 9 166 3 3
GRAPH 10 166 3 3
GRAPH 11 166 3 3
GRAPH 12 166 2 4
GRAPH 13 166 2 3
GRAPH 4 167 3 3
GRAPH 5 167 3 3
GRAPH 6 167 3 3
GRAPH 7 167 3 3
GRAPH 8 167 3 3
GRAPH 9 167 3 3
GRAPH 10 167 3 3
GRAPH 11 167 3 3
GRAPH 12 167 3 3
GRAPH 13 167 2 4
GRAPH 9 168 3 4
GRAPH 10 168 3 3
GRAPH 11 168 3 3
GRAPH 12 168 3 3
GRAPH 13 168 3 3
GRAPH 4 169 3 3
GRAPH 5 169 3 3
GRAPH 6 169 3 3
GRAPH 7 169 3 3
GRAPH 8 169 3 3
GRAPH 9 169 3 3
GRAPH 10 169 3 4
GRAPH 11 169 3 3
GRAPH 12 169 3 3
GRAPH 13 169 3 3
GRAPH 4 170 3 3
GRAPH 5 170 3 3
GRAPH 6 170 3 3
GRAPH 7 170 3 3
GRAPH 8 170 3 3
GRAPH 9 170 3 3
GRAPH 10 170 3 3
GRAPH 11 170 3 4
GRAPH 12 170 3 3
GRAPH 13 170 3 3
GRAPH 4 171 3 3
GRAPH 5 171 3 3
GRAPH 6 171 3 3
GRAPH 7 171 3 3
GRAPH 8 171 3 3
GRAPH 9 171 3 3
GRAPH 10 171 3 3
GRAPH 11 171 3 3
GRAPH 12 171 3 4
GRAPH 13 171 3 3
GRAPH 4 172 3 3
GRAPH 5 172 3 3
GRAPH 6 172 3 3
GRAPH 7 172 3 3
GRAPH 8 172 3 3
GRAPH 9 172 3 3
